minibatch,Time (hours),ROUGE-1 (F) Score),ROUGE-1 (F),ROUGE-2 (F),ROUGE-3 (F),ROUGE-L (F),ROUGE-S4 (F),,hours/epoch,epoch/example,example/minibatch,multiplier,score
132500,23.71930068,38.3657,0.383657,0.159635,0.072225,0.353794,0.146237,,,,,0.000179014,100
135000,24.16683465,38.4139,0.384139,0.162178,0.074258,0.356885,0.147527,,,,,0.000179014,100
137500,24.61436863,38.8629,0.388629,0.165638,0.075732,0.359267,0.150273,,,,,0.000179014,100
140000,25.0619026,38.7499,0.387499,0.163455,0.073904,0.356794,0.146294,,,,,0.000179014,100
142500,25.50943658,38.0213,0.380213,0.157483,0.070918,0.350848,0.143408,,,,,0.000179014,100
145000,25.95697055,38.184,0.38184,0.156262,0.06853,0.35257,0.144302,,,,,0.000179014,100
147500,26.40450453,39.0007,0.390007,0.164015,0.077419,0.360417,0.15279,,,,,0.000179014,100
150000,26.8520385,38.2889,0.382889,0.158999,0.072929,0.355179,0.147753,,,,,0.000179014,100
152500,27.29957248,38.2198,0.382198,0.155021,0.067201,0.354674,0.141935,,,,,0.000179014,100
155000,27.74710645,38.729,0.38729,0.155567,0.067768,0.357398,0.145325,,,,,0.000179014,100
157500,28.19464043,38.435,0.38435,0.160469,0.073494,0.353995,0.14721,,,,,0.000179014,100
160000,28.6421744,38.7024,0.387024,0.161764,0.073611,0.355841,0.149076,,,,,0.000179014,100
162500,29.08970838,39.3528,0.393528,0.166935,0.078206,0.364437,0.155491,,,,,0.000179014,100
165000,29.53724235,37.7384,0.377384,0.15538,0.071736,0.348281,0.141881,,,,,0.000179014,100
167500,29.98477633,38.2888,0.382888,0.160296,0.070814,0.355536,0.14727,,,,,0.000179014,100
170000,30.4323103,39.0591,0.390591,0.165096,0.074301,0.362238,0.151175,,,,,0.000179014,100
172500,30.87984428,37.3335,0.373335,0.156149,0.070703,0.345902,0.140888,,,,,0.000179014,100
175000,31.32737825,38.2613,0.382613,0.157016,0.067782,0.351405,0.144431,,,,,0.000179014,100
177500,31.77491223,39.1912,0.391912,0.160323,0.068446,0.36179,0.14928,,,,,0.000179014,100
180000,32.2224462,37.5973,0.375973,0.157545,0.069383,0.348181,0.142748,,,,,0.000179014,100
182500,32.66998018,39.02,0.3902,0.166582,0.078624,0.359646,0.151067,,,,,0.000179014,100
185000,33.11751415,39.1602,0.391602,0.161387,0.07211,0.360992,0.15006,,,,,0.000179014,100
187500,33.56504813,37.0251,0.370251,0.152991,0.069597,0.341132,0.13891,,,,,0.000179014,100
190000,34.0125821,38.7425,0.387425,0.1617,0.074702,0.358502,0.152539,,,,,0.000179014,100
192500,34.46011608,39.2029,0.392029,0.161693,0.072178,0.363647,0.151803,,,,,0.000179014,100
195000,34.90765005,39.32,0.3932,0.162269,0.073404,0.363036,0.152498,,,,,0.000179014,100
197500,35.35518403,38.6691,0.386691,0.157587,0.072126,0.356379,0.147321,,,,,0.000179014,100
200000,35.802718,39.4961,0.394961,0.168229,0.07798,0.364942,0.154343,,,,,0.000179014,100
202500,36.25025198,39.3964,0.393964,0.165538,0.075046,0.366016,0.153122,,,,,0.000179014,100
205000,36.69778595,38.9588,0.389588,0.159545,0.071057,0.360226,0.152027,,,,,0.000179014,100
207500,37.14531993,39.458,0.39458,0.166341,0.077679,0.365922,0.153592,,,,,0.000179014,100
210000,37.5928539,39.3123,0.393123,0.16479,0.074642,0.362921,0.151781,,,,,0.000179014,100
212500,38.04038788,38.445,0.38445,0.160914,0.073362,0.356738,0.14907,,,,,0.000179014,100
215000,38.48792185,39.561,0.39561,0.167047,0.07879,0.365148,0.156287,,,,,0.000179014,100
217500,38.93545583,39.8275,0.398275,0.168816,0.078028,0.368062,0.155422,,,,,0.000179014,100
220000,39.3829898,38.3973,0.383973,0.161818,0.072825,0.355965,0.147726,,,,,0.000179014,100
222500,39.83052378,39.0186,0.390186,0.162803,0.075978,0.362083,0.151593,,,,,0.000179014,100
225000,40.27805775,39.2455,0.392455,0.167761,0.081015,0.364684,0.157271,,,,,0.000179014,100
227500,40.72559173,38.0986,0.380986,0.163087,0.075599,0.354975,0.148317,,,,,0.000179014,100
230000,41.1731257,39.5168,0.395168,0.168031,0.077564,0.363771,0.155298,,,,,0.000179014,100
232500,41.62065968,39.0248,0.390248,0.162963,0.075407,0.359424,0.151152,,,,,0.000179014,100
235000,42.06819365,38.1554,0.381554,0.163689,0.077477,0.355239,0.14852,,,,,0.000179014,100
237500,42.51572763,39.0472,0.390472,0.160999,0.072115,0.35862,0.1489,,,,,0.000179014,100
